area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2566,8,"ไฟฟ้า","multiset","blank","(ไม่ได้กรอก)",,12,5.26
"พื้นที่สูง",2567,8,"ไฟฟ้า","multiset","1","1. พลังงานทางเลือก (โซลาร์/ลม/น้ำ/เครื่องปั่นไฟ)",3,4,6.56
"พื้นที่สูง",2567,8,"ไฟฟ้า","multiset","2","2. ไฟฟ้าส่วนภูมิภาค",0,51,83.61
"พื้นที่สูง",2567,8,"ไฟฟ้า","multiset","blank","(ไม่ได้กรอก)",,9,14.75
"พื้นที่สูง",2569,8,"ไฟฟ้า","multiset","1","1. พลังงานทางเลือก (โซลาร์/ลม/น้ำ/เครื่องปั่นไฟ)",3,5,6.85
"พื้นที่สูง",2569,8,"ไฟฟ้า","multiset","2","2. ไฟฟ้าส่วนภูมิภาค",0,46,63.01
"พื้นที่สูง",2569,8,"ไฟฟ้า","multiset","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,9,"โทรศัพท์","multiset","1","1. ไม่มีเครือข่ายสัญญาณ",3,141,8.69
"พื้นที่สูง",2565,9,"โทรศัพท์","multiset","2","2. ผ่านจานดาวเทียม",2,49,3.02
"พื้นที่สูง",2565,9,"โทรศัพท์","multiset","3","3. โทรศัพท์เคลื่อนที่",1,1320,81.33
"พื้นที่สูง",2565,9,"โทรศัพท์","multiset","4","4. โทรศัพท์พื้นฐาน",0,314,19.35
"พื้นที่สูง",2565,9,"โทรศัพท์","multiset","blank","(ไม่ได้กรอก)",,26,1.6
"พื้นที่สูง",2566,9,"โทรศัพท์","multiset","1","1. ไม่มีเครือข่ายสัญญาณ",3,8,3.51
"พื้นที่สูง",2566,9,"โทรศัพท์","multiset","2","2. ผ่านจานดาวเทียม",2,8,3.51
"พื้นที่สูง",2566,9,"โทรศัพท์","multiset","3","3. โทรศัพท์เคลื่อนที่",1,193,84.65
"พื้นที่สูง",2566,9,"โทรศัพท์","multiset","4","4. โทรศัพท์พื้นฐาน",0,46,20.18
"พื้นที่สูง",2566,9,"โทรศัพท์","multiset","blank","(ไม่ได้กรอก)",,12,5.26
"พื้นที่สูง",2567,9,"โทรศัพท์","multiset","1","1. ไม่มีเครือข่ายสัญญาณ",3,4,6.56
"พื้นที่สูง",2567,9,"โทรศัพท์","multiset","2","2. ผ่านจานดาวเทียม",2,1,1.64
"พื้นที่สูง",2567,9,"โทรศัพท์","multiset","3","3. โทรศัพท์เคลื่อนที่",1,45,73.77
"พื้นที่สูง",2567,9,"โทรศัพท์","multiset","4","4. โทรศัพท์พื้นฐาน",0,17,27.87
"พื้นที่สูง",2567,9,"โทรศัพท์","multiset","blank","(ไม่ได้กรอก)",,9,14.75
"พื้นที่สูง",2569,9,"โทรศัพท์","multiset","1","1. ไม่มีเครือข่ายสัญญาณ",3,2,2.74
"พื้นที่สูง",2569,9,"โทรศัพท์","multiset","2","2. ผ่านจานดาวเทียม",2,0,0
"พื้นที่สูง",2569,9,"โทรศัพท์","multiset","3","3. โทรศัพท์เคลื่อนที่",1,42,57.53
"พื้นที่สูง",2569,9,"โทรศัพท์","multiset","4","4. โทรศัพท์พื้นฐาน",0,6,8.22
"พื้นที่สูง",2569,9,"โทรศัพท์","multiset","blank","(ไม่ได้กรอก)",,28,38.36
